KEY,NOTES,ENGLISH,JAPANESE

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},{{targetPlant}} をクリアしています
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},{{targetDescription}} を生成しています
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},{{targetDescription}} を削除しています
ACTION.JOB.DIGGING,,Digging {{targetDescription}},{{targetDescription}} を掘っています
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},{{targetDescription}}を埋めています
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},{{targetPlant}}を収穫しています
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,キノコの胞子を注入
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},{{必須アイテム}} を植える
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},{{targetPlant}} から害虫を取り除く
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},シャベルで掘る {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,地球のティリング
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},充填 {{targetDescription}}
ACTION.MALTING.VERB,,Malting,
ACTION.PREPARATION.VERB,,Preparing,準備中
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,やるべき仕事を探しています
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},{{containerDescription}} でスリープ中
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},{{tileDescription}} でスリープ中

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}} の構築
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,{{quantity}} 件中 {{itemDescription}} 件が割り当てられました
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,他のアイテムを削除
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,進行する前に、この家具の建設エリアから取り外す必要があるアイテムがあります。
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,より多くの {{MaterialType}} {{itemDescription.plural}} が利用可能になるのを待っています
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,建設中
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,リソースが到着するのを待っています

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}}のパン
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} と {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}}のスープ

CRAFTING_TYPE.BAKING,,Baking,
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,
CRAFTING_TYPE.CARPENTRY,,Carpentry,
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,
CRAFTING_TYPE.FERMENTING,,Fermenting,
CRAFTING_TYPE.MALTING,,Malting,
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,
CRAFTING_TYPE.MILLING,,Milling,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,害虫に苦められている
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,この作物は、それが再び繁栄する前に {{PROFESSION.FARMER}} によって除去する必要があるアブラムシや他の昆虫の過剰な数によって苦しんでいます。 時間内に害虫を除去しないことは、この作物が死ぬことを意味する可能性があります!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}} 名詞
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,収穫に向けた進捗状況:{{progress}}%

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,落下残骸
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,脱水
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,疲労します
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,食中毒
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,飢餓
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,神秘的な状況

EARTH.DIRT,,Dirt,土
EARTH.GRASS,,Grass,草

FLOOR.COBBLESTONE,,Cobblestone,石畳
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,土
FLOOR.GRASS,,Grass,草
FLOOR.GRAVEL,,Gravel,砂利
FLOOR.RIVER,,River,川
FLOOR.ROUGH_STONE,,Rough stone floor,粗い石造りの床
FLOOR.STONE_SLAB,,Stone slab,石造りスラブ
FLOOR.TILLED_EARTH,,Tilled earth,耕地
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,未踏だ

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,ロックブレッド
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,これはとても硬く、実質的に食べられない悪名高いタフなパンで、カビに変わるのに非常に長い時間がかかります。 人間の探検家J.A.モファットは、かつてそれを食べて「沼から浚渫された砂利を噛むのに似ている」と説明しました。 幸いなことに、ほとんどのドワーフは気にしないようです。
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,小麦

FUEL.SACK,,Fuel,燃料
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",燃料は、{{FURNITURE.BLOOMERY_FURNACE}} と {{FURNITURE.FORGE}} の両方によって金属の製造に必要とされる。

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,パン屋の作業台
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}} は {{RESOURCE.FLOUR.SACK.PLURAL}} を {{INGREDIENT.DOUGH}} に変えるためにここで働いています。
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,パン屋のオーブン
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}} は、準備された {{INGREDIENT.DOUGH}} を使ってここのパンを焼きます。
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,ブルマリー
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,{{プロフェッショナル.ブラックスミス}} はこの手作業で操作する炉を使用して {{リソース.鉱石.くじ.多型}} と {{燃料.サック} を {材質.金属.調整可能} {リソース.金属.金属.多型} に変わります。
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,大工ワークベンチ
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",{{PRODUCT.BUCKET.PLURAL}} や {{PRODUCT.BARREL.PLURAL} など、ほとんどの木製アイテムや道具がここで生産されています。
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,大釜だ
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,大釜は、空腹の入植者に大量のスープを提供するために使用されます。 スープは、{{ルームズ.キッチン}} で生産され、{{ルームズ.フィアスティングホール}} に移されます。
FURNITURE.CHAIR,,Chair,椅子
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,チャコールクランプ
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",これは {{材質タイプ.地面}} で覆われた {{リソース.LOGS.PLURAL}} の山で、{{天然石炭.NOUN} を生産するためにゆっくりと燃やされ、{{燃料.SACK} として使用することができます。
FURNITURE.COKE_OVEN,,Coke oven,コーラオーブン
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,コークスオーブンは、{{{炭酸塩コークス}} を {{核酸コークス}} に変換し、{{FUEL.SACK} として使用できるようにします。
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,進捗状況から完了まで:{{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,innoculation を完了するための進行状況:{{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,ショックキノコログへの進行状況:{{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},{{商品種別.名詞}} を待機しています
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,充填されるのを待っています
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,キノコの産卵を注入するのを待っています
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,ごちそう
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",{{FURNITURE.CHAIR}} を配置すると、入植者はこのテーブルで食事を楽しむことができます。
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,グリストミル
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,このグリスミルは {{野菜.小麦}} を {{リソース.フローアー.サック.ノウン}} に粉砕し、{{PROFESSION.CHEF}} が使用できるようにします。
FURNITURE.FORGE,,Forge,鍛冶だ
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,これは、{{プロフェッショナル.ブラックスミス}} が {{材質タイプ.金属.調整式}} {{リソース.金属.インゴット.多型} および {燃料.サック} と連動し、アイテムや武器をクラフトします。
FURNITURE.GRAVE,,Grave,墓だ
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,死亡した入植者のための急いで掘られた墓で、{{MATERIAL_TYPE.EARTH}} にのみ置くことができます。
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,キッチンワークトップ
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,スープを作るために {{PROFESSION.CHEF}} の食材を貯蔵するエリア。
FURNITURE.LANTERN,,Lantern,ランタン
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,ランタンは光を提供します。これは現在、ゲーム内の効果はありません。
FURNITURE.LARGE_TABLE,,Large table,大きなテーブル
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. ",
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,マッシュルームログ
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",おいしいジューシーなキノコのいくつかの収穫を生産するために {{成分.キノコ.スポーン.PLURAL}} を注入されたログ。
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,ショックタンク
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",接種後、このタンクに {{FURNITURE.MUSHROOM_LOG}} を置き、キノコのコロニーを「衝撃」させ、キノコ栽培を促します。
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,鉱石破砕駅
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,生の {{リソース.ORE.REFINED.PLURAL}} は、{{FURNITURE.BLOOMERY_FURNACE} で使用できるように、より実行可能なサイズに粉砕されます。
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,柱
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,大きな掘り出し出しエリアが崩壊するのを止めるには、柱が必要です。 柱やその他の支柱なしで採掘された7x7タイルの面積は、最終的に崩壊するでしょう。
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,石棺だ
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,この精巧な石容器は、故人の入植者の最後の休息地です。
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,サービングテーブル
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{{製品.パン.ローフ.多数}} は、{{食品.パン.ローフ.多数}} で焼いた後に提供するためにここに置かれます。
FURNITURE.SINGLE_BED,,Bed,ベッドです
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",ベッドは快適な夜の休息に最適な場所です。
FURNITURE.SINGLE_DOOR,,Door,ドア
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,ドアフレーム
FURNITURE.SMALL_TABLE,,Small table,小さなテーブル
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,ストーンメイソンワークベンチ
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{プロフェッショナル.ストーンメイソン}} は、{{マテリアル_タイプ.ストーン.調整可能}} のリソースで動作します。
FURNITURE.STOOL,,Stool,スツール
FURNITURE.WATER_BARREL,,Water barrel,水バレル
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",水筒は、川のような天然の水源を見つけるのではなく、あなたの入植者が喉の渇きを飲むための場所です。
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,木材カッティングベンチ
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,{{プロフェッショナル.ウッドカッター}} は {{リソース.LOGS.PLURAL}} を {リソース.PLANKS.PLURAL} に変えるためにここで働きます。

GEM.AMETHYST.ADJECTIVE,,Amethyst,アメジスト
GEM.AMETHYST.NOUN,,Amethyst,アメジスト
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,紫色の色の様々な石英。 古代の人間は、それが魔法のように酔ってからそれらを守ることができると信じていました。 このため、ドワーフ文化ではあまり人気がありません。
GEM.AMMOLITE.ADJECTIVE,,Ammolite,アンモライト
GEM.AMMOLITE.NOUN,,Ammolite,アンモライト
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,赤から緑の虹色のオパールのような宝石。 それは「狩猟石」として知られており、そこから作られたお守りは、狩りに幸運をもたらすためのものです。
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,アクアマリン
GEM.AQUAMARINE.NOUN,,Aquamarine,アクアマリン
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,シアン色のベリル。 一部の人間は、それが海の危険に対する魔法の保護を提供すると信じています。 これは、古代の魔道師が闇の時代に貿易船を保護するために空と氷の魔法を組み合わせて使用したためです。
GEM.BIXBITE.ADJECTIVE,,Bixbite,ビックスバイト
GEM.BIXBITE.NOUN,,Bixbite,ビックスバイト
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",赤ベリルとも呼ばれ、非常に希少な宝石です。 赤色のエメラルドと混同されることが多い。
GEM.CINNABAR.ADJECTIVE,,Cinnabar,シナバー
GEM.CINNABAR.NOUN,,Cinnabar,シナバー
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,水銀の鉱石で、ディープレッドの色合いの宝飾品によく使われます。 また、朱色と呼ばれる染料を製造するために使用されます。
GEM.CITRINE.ADJECTIVE,,Citrine,シトリン
GEM.CITRINE.NOUN,,Citrine,シトリン
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",黄色がかった様々な石英。 宝石は金と最も似ているので、ほとんどのドワーフはシトリンが幸運だと思っています。
GEM.DIAMOND.ADJECTIVE,,Diamond,ダイアモンド
GEM.DIAMOND.NOUN,,Diamond,ダイアモンド
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,最も難しい既知の材料と7つの天の石の中で最も重要なものの一つ。 ダイヤモンドは、「精神」または「エーテル」と呼ばれる中性元素の最も凝縮された形態です。
GEM.EMERALD.ADJECTIVE,,Emerald,エメラルド
GEM.EMERALD.NOUN,,Emerald,エメラルド
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,鮮やかな緑のベリル。 エメラルドの彫刻は大きな不幸をもたらすと考えられています。 エメラルドは、元素の生命と関連する魔法と密接に関連しています。
GEM.GARNET.ADJECTIVE,,Garnet,ガーネット
GEM.GARNET.NOUN,,Garnet,ガーネット
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",ガーネットは、宝石として使用される様々なミネラルをカバーし、すべて深い赤色です。 いくつかのガーネットの宝石は、実際には元素の火の凝縮形です。
GEM.JADE.ADJECTIVE,,Jade,ジェイド
GEM.JADE.NOUN,,Jade,ジェイド
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",多くの場合、装飾のために使用される明るい緑色の鉱物。 また、エルフはヒスイを使って腸の病気を治すことができる薬を作ることも知られています。
GEM.JASPER.ADJECTIVE,,Jasper,ジャスパー
GEM.JASPER.NOUN,,Jasper,ジャスパー
