KEY,NOTES,ENGLISH,JAPANESE
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,木製の家具やアイテムを形に剃るために使用されます。 {{PROFESSION.CARPENTER}}の主要なツールです。
TOOL.ROLLING.PIN.NOUN,,Rolling pin,回転ピン
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,生地を調製するために使用されます。 {{PROFESSION.CHEF}}によって使用されるツールの一つ。
TOOL.SAW.NOUN,A carpenter's saw,Saw,見た
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,木材を形に切断するために使用されます。 {{ROOMS.SAWMILL}}の材木を切断するために必要です。
TOOL.SMALL.HAMMER.NOUN,,Hammer,ハンマー
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,石や金属の小物を形にするのに使用されます。 {{PROFESSION.BLACKSMITH}}によって使用されるツールの 1 つです。
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,トング
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,非常に高温の金属アイテムを保持するために使用されます。 金属鉱石の製錬プロセスで使用されます。

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}} ツリー

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.",
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.",
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.",
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.",
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.",
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GROUP.SEEDS}} (you can right-click to go back up to a previous menu) and designate an area to be used for seeds to be stored.",
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.GROUP.TOOLS}} and designate another area to be used to store tools.,
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.",
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.",
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.",
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.",
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.",
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. At this point in the development of King under the Mountain it does not matter if it is outside or indoors, but in the future you’ll want all your rooms to have a ceiling to protect them from the elements.",
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}} to store any harvested crops.",
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!",
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.",
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.",
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.",
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ",
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!",
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,

VEGETABLE.BARLEY,,Barley,大麦だ
VEGETABLE.BARLEY.PLURAL,,Barley,大麦だ
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",ビールの生産にのみ使用される穀物。 {{シーズン春夏}}、{シーズン夏}、{シーズン秋夏}} に植えられる。
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,マッシュルーム
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,マッシュルーム
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,白い斑点を持つピンク赤色のキャップを持つキノコ。 戦闘に備えて戦士が用いる幻覚性性がある。
VEGETABLE.CARROT,,Carrot,にんじん
VEGETABLE.CARROT.PLURAL,,Carrots,ニンジン
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",{{シーズン.冬}} の霜を存続する丈夫な根菜です。 ニンジンは急速に成長しますが、小さな作物しか生成しません。 {{シーズン春夏}}、{シーズン夏}、{シーズン秋夏}} に植えられる。
VEGETABLE.CORN,,Sweetcorn,スイートコーン
VEGETABLE.CORN.PLURAL,,Sweetcorn,スイートコーン
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",トウモロコシとしても知られている穀物。 それは豊かな作物を生み出すが、成長するのに約2シーズンかかり、{{SEASON.WINTER}} は生き残ることができないので、早く {{SEASON.SPRING} に植える必要があります。
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,マッシュルーム
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,マッシュルーム
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",広くて平らなキャップを持つ非常に有毒なキノコ。 わずかな量でさえ食べることは、ほぼ確実に中毒を引き起こし、死につながる可能性があります。
VEGETABLE.DRAGONFRUIT,,Dragonfruit,ドラゴンフルーツ
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,ドラゴンフルーツ
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,エルフスベン
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,エルフスベーンキノコ
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",このキノコは、ほとんどのヒューマノイドにシンプルで風味のない味を持っています。 不思議なことに、それはしばしば消費時に爆発的な嘔吐、または極端な場合には心臓発作に反応するエルフには絶対に嫌です。
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,マッシュルーム
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,フィストマッシュルーム
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,メタリックな味の黒青のキノコ。 それは、闇の時代からバードのグループにちなんで命名されています。
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,グローマッシュルーム
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,グローマッシュルーム
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,光を放り出し、季節によって色が変わる魔法のマッシュルーム。
VEGETABLE.HOPS,,Hops,ホップ
VEGETABLE.HOPS.PLURAL,,Hops,ホップ
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,ビールの風味に使われる花。 {{シーズンスプリング}} に植える必要があります。
VEGETABLE.LOQUAT,,Loquat,ロクワット
VEGETABLE.LOQUAT.PLURAL,,Loquats,ロクワット
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,ミルトニアキノコ
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,ミルトニアキノコ
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.",かつてはハッズ地域にのみ存在すると考えられ、今では世界中で発見されています。
VEGETABLE.POTATO,,Potato,じゃがいも
VEGETABLE.POTATO.PLURAL,,Potatoes,じゃがいも
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",{{SEASON.WINTER}} 生き残ることができるデンプン質の根菜で、ほとんどの集落に適しています。 {{シーズン春夏}}、{シーズン夏}、{シーズン秋夏}} に植えられる。
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,マッシュルーム
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,マッシュルーム
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",太った帽子、ふっくらターバン、ふわふわヘルメット。この伝説のキノコは、多くの名前で行きます。 伝説は、ずっと前に、ドワーフの多くのコミュニティは、この真菌の飼いならされた株に完全に住んだことを保持しています。
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,マッシュルーム
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,マッシュルーム
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,白と黒の斑点きのこ。 それを摂取する人々の外観に影響を与えることが知られている。
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,サングローマッシュルーム
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,サングローマッシュルーム
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,太陽の光で輝く明るい黄色のキノコ。 収穫された瞬間にこの輝きを失います。
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,シロップパウダーマッシュルーム
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,シロップパウダーキノコ
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",白い下面を持つ丸いオレンジ/黄色のキノコ。 昔、魔道者によって使われてきたと言われていますが、どんな目的のためにも、誰も知りません。
VEGETABLE.TAMARILLO,,Tamarillo,タマリロ
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,タマリロス
VEGETABLE.THIMBLEBERRY,,Thimbleberry,シンブルベリー
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,シンブルベリー
VEGETABLE.TOMATO,,Tomato,トマト
VEGETABLE.TOMATO.PLURAL,,Tomatoes,トマトだ
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,野菜としてよく使われる大きな赤い果実を育てる植物。 {{シーズンスプリング}} にのみ植えることができる。
VEGETABLE.WHEAT,,Wheat,小麦
VEGETABLE.WHEAT.PLURAL,,Wheat,小麦
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",穀物の穀物は、一般的にパンの生産に使用されます。 {{シーズン.冬}} は生き残ることができますが、成長にはしばらく時間がかかるので、{{シーズン.スプリング}} または {{シーズン.AUTUMN} に植えられます。

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,緑
VITRIOL.GREEN_VITRIOL.NOUN,,Green,緑
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)",硫酸鉄としても知られるこの塩は、作物農業を改善するための土壌添加剤として含め、いくつかの用途を有する。 （硝酸塩の使用は、まだ山の下の王に実装されていません）

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{furnitureType.noun}}} {{ウォールタイプ.名詞}}
WALL.GEMS.NOUN,,Gems,宝石
WALL.ORE.NOUN,,Ore,鉱石
WALL.ROUGH_STONE.NOUN,,Rock wall,ロックウォール
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,滑らかな石の壁。
WALL.WOODEN.NOUN,,Wood wall,木造壁

WOOD.ASPEN.ADJECTIVE,,Aspen,ポプラ
WOOD.ASPEN.NOUN,,Aspen,ポプラ
WOOD.BAOBAB.ADJECTIVE,,Baobab,バオバブ
WOOD.BAOBAB.NOUN,,Baobab,バオバブ
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,バークシュルーム
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,バークシュルーム
WOOD.BEECH.ADJECTIVE,,Beech,ブナ
WOOD.BEECH.NOUN,,Beech,ブナ
WOOD.BIRCH.ADJECTIVE,,Birch,カバ
WOOD.BIRCH.NOUN,,Birch,カバ
WOOD.EBONY.ADJECTIVE,,Ebony,黒檀
WOOD.EBONY.NOUN,,Ebony,黒檀
WOOD.FIR.ADJECTIVE,,Fir,モミ
WOOD.FIR.NOUN,,Fir,モミ
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,ファンザイウッド
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,ファンザイウッド
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,アイアンウッド
WOOD.IRONWOOD.NOUN,,Ironwood,アイアンウッド
WOOD.MAPLE.ADJECTIVE,,Maple,メープル
WOOD.MAPLE.NOUN,,Maple,メープル
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,ヌイシア
WOOD.NUYTSIA.NOUN,,Nuytsia,ヌイシア
WOOD.OAK.ADJECTIVE,,Oaken,オーク
WOOD.OAK.NOUN,,Oak,オーク
WOOD.PECAN.ADJECTIVE,,Pecan,ピーカン
WOOD.PECAN.NOUN,,Pecan,ピーカン
WOOD.PINE.ADJECTIVE,,Pine,松
WOOD.PINE.NOUN,,Pine,松
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,赤杉
WOOD.RED_CEDAR.NOUN,,Red cedar,赤杉
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,赤柏
WOOD.RED_EMPEROR.NOUN,,Red emperor,赤柏
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,紫檀
WOOD.ROSEWOOD.NOUN,,Rosewood,紫檀
WOOD.SPRUCE.ADJECTIVE,,Spruce,トウヒ
WOOD.SPRUCE.NOUN,,Spruce,トウヒ
WOOD.STAR_PINE.ADJECTIVE,,Star pine,スターパイン
WOOD.STAR_PINE.NOUN,,Star pine,スターパイン
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,プラタナス
WOOD.SYCAMORE.NOUN,,Sycamore,プラタナス
